file,Bin packing + TSP,Clark-Wright + TSP,Sectorielle + TSP,Bin packing + Mix-Metaheuristic,Clark-Wright + Mix-Metaheuristic,Sectorielle + Mix-Metaheuristic
A_014_#ABS1_15_1.prp,1589.0,1920.0,1589.0,1589.0,1920.0,1589.0
A_014_ABS10_15_1.prp,1589.0,1920.0,1589.0,1589.0,1920.0,1589.0
A_014_ABS10_15_2.prp,1925.0,2019.0,1904.0,1925.0,1822.0,1904.0
A_014_ABS10_15_3.prp,1931.0,1685.0,1774.0,1737.0,1685.0,1774.0
A_014_ABS10_15_4.prp,1944.0,1723.0,1975.0,1944.0,1723.0,1975.0
A_014_ABS10_15_5.prp,1581.0,1581.0,1581.0,1581.0,1581.0,1581.0
A_014_ABS11_15_1.prp,1589.0,1920.0,1589.0,1589.0,1920.0,1589.0
A_014_ABS11_15_2.prp,1925.0,2019.0,1904.0,1925.0,1822.0,1904.0
A_014_ABS11_15_3.prp,1931.0,1685.0,1774.0,1737.0,1685.0,1774.0
A_014_ABS11_15_4.prp,1944.0,1723.0,1975.0,1944.0,1723.0,1975.0
A_014_ABS11_15_5.prp,1581.0,1581.0,1581.0,1581.0,1581.0,1581.0
A_014_ABS12_15_1.prp,2533.0,2294.0,2293.0,1589.0,1589.0,1930.0
A_014_ABS12_15_2.prp,2649.0,2061.0,2303.0,2198.0,1694.0,1969.0
A_014_ABS12_15_3.prp,2335.0,1857.0,2205.0,1755.0,1685.0,1785.0
A_014_ABS12_15_4.prp,2289.0,2029.0,2400.0,1723.0,1829.0,2092.0
A_014_ABS12_15_5.prp,2977.0,2111.0,2338.0,2272.0,2111.0,2272.0
A_014_ABS13_15_1.prp,3177.0,4252.0,3177.0,3177.0,3177.0,3177.0
A_014_ABS13_15_2.prp,3855.0,4044.0,3811.0,3855.0,3647.0,3811.0
A_014_ABS13_15_3.prp,3864.0,3366.0,3551.0,3474.0,3366.0,3551.0
A_014_ABS13_15_4.prp,3890.0,3443.0,3950.0,3890.0,3443.0,3950.0
A_014_ABS13_15_5.prp,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0
A_014_ABS14_15_1.prp,3177.0,4252.0,3177.0,3177.0,3177.0,3177.0
A_014_ABS14_15_2.prp,3855.0,4044.0,3811.0,3855.0,3647.0,3811.0
A_014_ABS14_15_3.prp,3864.0,3366.0,3551.0,3474.0,3366.0,3551.0
A_014_ABS14_15_4.prp,3890.0,3443.0,3950.0,3890.0,3443.0,3950.0
A_014_ABS14_15_5.prp,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0
A_014_ABS15_15_1.prp,5065.0,4616.0,4584.0,3177.0,3177.0,3861.0
A_014_ABS15_15_2.prp,5298.0,4127.0,4602.0,4398.0,3395.0,3937.0
A_014_ABS15_15_3.prp,4671.0,3712.0,4415.0,3504.0,3366.0,3573.0
A_014_ABS15_15_4.prp,4578.0,4059.0,4803.0,3443.0,3657.0,4183.0
A_014_ABS15_15_5.prp,5958.0,4227.0,4678.0,4544.0,4227.0,4544.0
A_014_ABS16_15_1.prp,3177.0,4252.0,3177.0,3177.0,3177.0,3177.0
A_014_ABS16_15_2.prp,3855.0,4044.0,3811.0,3855.0,3647.0,3811.0
A_014_ABS16_15_3.prp,3864.0,3366.0,3551.0,3474.0,3366.0,3551.0
A_014_ABS16_15_4.prp,3890.0,3443.0,3950.0,3890.0,3443.0,3950.0
A_014_ABS16_15_5.prp,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0
A_014_ABS17_15_1.prp,3177.0,4252.0,3177.0,3177.0,3177.0,3177.0
A_014_ABS17_15_2.prp,3855.0,4044.0,3811.0,3855.0,3647.0,3811.0
A_014_ABS17_15_3.prp,3864.0,3366.0,3551.0,3474.0,3366.0,3551.0
A_014_ABS17_15_4.prp,3890.0,3443.0,3950.0,3890.0,3443.0,3950.0
A_014_ABS17_15_5.prp,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0
A_014_ABS18_15_1.prp,5065.0,4616.0,4584.0,3177.0,3177.0,3861.0
A_014_ABS18_15_2.prp,5298.0,4127.0,4602.0,4398.0,3395.0,3937.0
A_014_ABS18_15_3.prp,4671.0,3712.0,4415.0,3504.0,3366.0,3573.0
A_014_ABS18_15_4.prp,4578.0,4059.0,4803.0,3443.0,3657.0,4183.0
A_014_ABS18_15_5.prp,5958.0,4227.0,4678.0,4544.0,4227.0,4544.0
A_014_ABS19_15_1.prp,3177.0,4252.0,3177.0,3177.0,3177.0,3177.0
A_014_ABS19_15_2.prp,3855.0,4044.0,3811.0,3855.0,3647.0,3811.0
A_014_ABS19_15_3.prp,3864.0,3366.0,3551.0,3474.0,3366.0,3551.0
A_014_ABS19_15_4.prp,3890.0,3443.0,3950.0,3890.0,3443.0,3950.0
A_014_ABS19_15_5.prp,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0
A_014_ABS1_15_1.prp,1589.0,1920.0,1589.0,1589.0,1920.0,1589.0
A_014_ABS1_15_2.prp,1925.0,2019.0,1904.0,1925.0,1822.0,1904.0
A_014_ABS1_15_3.prp,1931.0,1685.0,1774.0,1737.0,1685.0,1774.0
A_014_ABS1_15_4.prp,1944.0,1723.0,1975.0,1944.0,1723.0,1975.0
A_014_ABS1_15_5.prp,1581.0,1581.0,1581.0,1581.0,1581.0,1581.0
A_014_ABS20_15_1.prp,3177.0,4252.0,3177.0,3177.0,3177.0,3177.0
A_014_ABS20_15_2.prp,3855.0,4044.0,3811.0,3855.0,3647.0,3811.0
A_014_ABS20_15_3.prp,3864.0,3366.0,3551.0,3474.0,3366.0,3551.0
A_014_ABS20_15_4.prp,3890.0,3443.0,3950.0,3890.0,3443.0,3950.0
A_014_ABS20_15_5.prp,3165.0,3165.0,3165.0,3165.0,3165.0,3165.0
