file,MTZ,time1,Clark-Wright + Mix-Metaheuristic,time2
A_014_#ABS1_15_1.prp,1589.0,0.03595235,1920.0,0.006129314
A_014_ABS10_15_1.prp,1589.0,0.048482953,1920.0,0.001586536
A_014_ABS10_15_2.prp,1694.0,0.051725721,1822.0,0.005250091
A_014_ABS10_15_3.prp,1685.0,0.182462902,1685.0,0.002269334
A_014_ABS10_15_4.prp,1723.0,0.087240033,1723.0,0.00249445
A_014_ABS10_15_5.prp,1581.0,0.250938997,1581.0,0.002198654
A_014_ABS11_15_1.prp,1589.0,0.050622577,1920.0,0.002968798
A_014_ABS11_15_2.prp,1694.0,0.043328834,1822.0,0.0062969620000000006
A_014_ABS11_15_3.prp,1685.0,0.112092038,1685.0,0.002273281
A_014_ABS11_15_4.prp,1723.0,0.084534217,1723.0,0.002100131
A_014_ABS11_15_5.prp,1581.0,0.156784593,1581.0,0.0019223089999999999
A_014_ABS12_15_1.prp,1882.0,2.41829048,1589.0,0.00950962
A_014_ABS12_15_2.prp,1866.0,0.220697469,1694.0,0.007532629
A_014_ABS12_15_3.prp,1721.0,0.137568339,1685.0,0.007656316
A_014_ABS12_15_4.prp,1953.0,3.585255611,1829.0,0.306003845
A_014_ABS12_15_5.prp,2042.0,53.516282523,2111.0,0.002306173
A_014_ABS13_15_1.prp,3177.0,0.095731664,3177.0,0.016340574
A_014_ABS13_15_2.prp,3395.0,0.112826016,3647.0,0.020724760000000002
A_014_ABS13_15_3.prp,3366.0,0.911046917,3366.0,0.003863086
A_014_ABS13_15_4.prp,3443.0,0.126138947,3443.0,0.004010425
A_014_ABS13_15_5.prp,3165.0,0.346635495,3165.0,0.002817193
A_014_ABS14_15_1.prp,3177.0,0.04240492,3177.0,0.008632902
A_014_ABS14_15_2.prp,3395.0,0.061664524,3647.0,0.011193238999999999
A_014_ABS14_15_3.prp,3366.0,0.257484243,3366.0,0.00364936
A_014_ABS14_15_4.prp,3443.0,0.065436096,3443.0,0.002806424
A_014_ABS14_15_5.prp,3165.0,0.214057931,3165.0,0.002865365
A_014_ABS15_15_1.prp,3763.0,2.780437149,3177.0,0.017453558
A_014_ABS15_15_2.prp,3740.0,0.325887032,3395.0,0.011200764
A_014_ABS15_15_3.prp,3439.0,0.152977763,3366.0,0.011738475000000002
A_014_ABS15_15_4.prp,3904.0,3.212964846,3657.0,0.012337788
A_014_ABS15_15_5.prp,4088.0,48.746055006,4227.0,0.002860389
A_014_ABS16_15_1.prp,3177.0,0.093748016,3177.0,0.014702336
A_014_ABS16_15_2.prp,3395.0,0.095501552,3647.0,0.012007669
A_014_ABS16_15_3.prp,3366.0,0.184056276,3366.0,0.002925892
A_014_ABS16_15_4.prp,3443.0,0.089043622,3443.0,0.002582651
A_014_ABS16_15_5.prp,3165.0,0.350003074,3165.0,0.004463944
A_014_ABS17_15_1.prp,3177.0,0.188450709,3177.0,0.01266828
A_014_ABS17_15_2.prp,3395.0,0.141311123,3647.0,0.008930786
A_014_ABS17_15_3.prp,3366.0,0.342596503,3366.0,0.001387555
A_014_ABS17_15_4.prp,3443.0,0.088955897,3443.0,0.0011537840000000001
A_014_ABS17_15_5.prp,3165.0,0.303873874,3165.0,0.001238651
A_014_ABS18_15_1.prp,3763.0,2.269973432,3177.0,0.006631522999999999
A_014_ABS18_15_2.prp,3740.0,0.207113809,3395.0,0.0041756549999999995
A_014_ABS18_15_3.prp,3439.0,0.241178087,3366.0,0.004643411
A_014_ABS18_15_4.prp,3904.0,3.078972726,3657.0,0.005061207999999999
A_014_ABS18_15_5.prp,4088.0,53.036218082,4227.0,0.005333684
A_014_ABS19_15_1.prp,3177.0,0.049879313,3177.0,0.010874438
A_014_ABS19_15_2.prp,3395.0,0.067160312,3647.0,0.011065887
A_014_ABS19_15_3.prp,3366.0,0.154307562,3366.0,0.00332765
A_014_ABS19_15_4.prp,3443.0,0.065929745,3443.0,0.0034916620000000004
A_014_ABS19_15_5.prp,3165.0,0.213519347,3165.0,0.282351129
A_014_ABS1_15_1.prp,1589.0,0.058259128,1920.0,0.00253756
A_014_ABS1_15_2.prp,1694.0,0.045707392,1822.0,0.007390685
A_014_ABS1_15_3.prp,1685.0,0.213915472,1685.0,0.002422398
A_014_ABS1_15_4.prp,1723.0,0.106266797,1723.0,0.002060379
A_014_ABS1_15_5.prp,1581.0,0.273992461,1581.0,0.002367283
A_014_ABS20_15_1.prp,3177.0,0.038850771,3177.0,0.005457229
A_014_ABS20_15_2.prp,3395.0,0.051668454,3647.0,0.004304996
A_014_ABS20_15_3.prp,3366.0,0.16942333,3366.0,0.001411533
A_014_ABS20_15_4.prp,3443.0,0.061241937,3443.0,0.001509911
A_014_ABS20_15_5.prp,3165.0,0.165929029,3165.0,0.001393277
A_014_ABS21_15_1.prp,3763.0,2.041369505,3177.0,0.012620752
A_014_ABS21_15_2.prp,3740.0,0.254302602,3395.0,0.009091065
A_014_ABS21_15_3.prp,3439.0,0.123385625,3366.0,0.018853079000000002
A_014_ABS21_15_4.prp,3904.0,3.065672313,3657.0,0.0049526399999999995
A_014_ABS21_15_5.prp,4088.0,49.412317463,4227.0,0.008807163
A_014_ABS22_15_1.prp,3177.0,0.096486966,3177.0,0.016564992
A_014_ABS22_15_2.prp,3395.0,0.073056993,3647.0,0.013711491000000001
A_014_ABS22_15_3.prp,3366.0,0.218944198,3366.0,0.004076804
A_014_ABS22_15_4.prp,3443.0,0.059717315,3443.0,0.003535472
A_014_ABS22_15_5.prp,3165.0,0.21886493,3165.0,0.0035789690000000004
A_014_ABS23_15_1.prp,3177.0,0.039402857,3177.0,0.011138719
A_014_ABS23_15_2.prp,3395.0,0.065795191,3647.0,0.010312468
A_014_ABS23_15_3.prp,3366.0,0.286768072,3366.0,0.003304979
A_014_ABS23_15_4.prp,3443.0,0.178297967,3443.0,0.003215643
A_014_ABS23_15_5.prp,3165.0,0.244557934,3165.0,0.004080036
A_014_ABS24_15_1.prp,3763.0,2.04230521,3177.0,0.256447781
A_014_ABS24_15_2.prp,3740.0,0.247399503,3395.0,0.007747136999999999
A_014_ABS24_15_3.prp,3439.0,0.41944524,3366.0,0.007928263
A_014_ABS24_15_4.prp,3904.0,2.79450098,3657.0,0.004685904
A_014_ABS24_15_5.prp,4088.0,45.604140647,4227.0,0.001482571
A_014_ABS25_15_1.prp,1589.0,0.044481303,1920.0,0.0017711390000000001
A_014_ABS25_15_2.prp,1694.0,0.138157244,1822.0,0.004210501
A_014_ABS25_15_3.prp,1685.0,0.504604637,1685.0,0.001375078
A_014_ABS25_15_4.prp,1723.0,0.34412561,1723.0,0.0025326000000000003
A_014_ABS25_15_5.prp,1581.0,0.418840513,1581.0,0.001207655
A_014_ABS26_15_1.prp,1589.0,0.167102723,1920.0,0.003146329
A_014_ABS26_15_2.prp,1694.0,0.045677803,1822.0,0.004258125
A_014_ABS26_15_3.prp,1685.0,0.332932776,1685.0,0.001290835
A_014_ABS26_15_4.prp,1723.0,0.212880809,1723.0,0.001144375
A_014_ABS26_15_5.prp,1581.0,0.237250998,1581.0,0.002003018
A_014_ABS27_15_1.prp,1882.0,2.973938734,1589.0,0.008240384
A_014_ABS27_15_2.prp,1866.0,0.346181862,1694.0,0.005542314
A_014_ABS27_15_3.prp,1721.0,0.341893275,1685.0,0.007269536
A_014_ABS27_15_4.prp,1953.0,5.020534429,1829.0,0.014743155999999999
A_014_ABS27_15_5.prp,2042.0,55.263306701,2111.0,0.004678829
A_014_ABS28_15_1.prp,1589.0,0.094759517,1920.0,0.005722534
A_014_ABS28_15_2.prp,1694.0,0.172228317,1822.0,0.017021172
A_014_ABS28_15_3.prp,1685.0,0.351227742,1685.0,0.003519616
A_014_ABS28_15_4.prp,1723.0,0.521453923,1723.0,0.005700671
A_014_ABS28_15_5.prp,1581.0,0.476370157,1581.0,0.002921521
A_014_ABS29_15_1.prp,1589.0,0.210275496,1920.0,0.006397487
A_014_ABS29_15_2.prp,1694.0,0.143860267,1822.0,0.212218622
A_014_ABS29_15_3.prp,1685.0,0.47863791,1685.0,0.001384405
A_014_ABS29_15_4.prp,1723.0,0.160618381,1723.0,0.001869177
A_014_ABS29_15_5.prp,1581.0,0.320314336,1581.0,0.002145724
A_014_ABS2_15_1.prp,1589.0,0.06056707,1920.0,0.001878886
A_014_ABS2_15_2.prp,1694.0,0.29144412,1822.0,0.006648311
A_014_ABS2_15_3.prp,1685.0,0.300435042,1685.0,0.001278778
A_014_ABS2_15_4.prp,1723.0,0.294743221,1723.0,0.002016442
A_014_ABS2_15_5.prp,1581.0,0.218350933,1581.0,0.0016498139999999999
A_014_ABS30_15_1.prp,1882.0,2.509466988,1589.0,0.009224379
A_014_ABS30_15_2.prp,1866.0,0.239755108,1694.0,0.006727733
A_014_ABS30_15_3.prp,1721.0,0.154149753,1685.0,0.005904602
A_014_ABS30_15_4.prp,1953.0,3.836651672,1829.0,0.006169038
A_014_ABS30_15_5.prp,2042.0,51.670113495,2111.0,0.0031439980000000003
A_014_ABS31_15_1.prp,1589.0,0.255109913,1920.0,0.0018557830000000002
A_014_ABS31_15_2.prp,1694.0,0.045765668,1822.0,0.005780661
A_014_ABS31_15_3.prp,1685.0,0.246152803,1685.0,0.002004148
A_014_ABS31_15_4.prp,1723.0,0.102781065,1723.0,0.001334511
A_014_ABS31_15_5.prp,1581.0,0.278272087,1581.0,0.001360834
A_014_ABS32_15_1.prp,1589.0,0.166738676,1920.0,0.00167479
A_014_ABS32_15_2.prp,1694.0,0.084447595,1822.0,0.004534714
A_014_ABS32_15_3.prp,1685.0,0.144905984,1685.0,0.001507244
A_014_ABS32_15_4.prp,1723.0,0.076667713,1723.0,0.001543417
A_014_ABS32_15_5.prp,1581.0,0.155853412,1581.0,0.001329006
A_014_ABS33_15_1.prp,1882.0,2.653378924,1589.0,0.008045105
A_014_ABS33_15_2.prp,1866.0,0.215240357,1694.0,0.0045123360000000005
A_014_ABS33_15_3.prp,1721.0,0.131903659,1685.0,0.005228796
A_014_ABS33_15_4.prp,1953.0,3.508728942,1829.0,0.016080554
A_014_ABS33_15_5.prp,2042.0,55.265725883,2111.0,0.002142607
A_014_ABS34_15_1.prp,1589.0,0.047634299,1920.0,0.0017633079999999999
A_014_ABS34_15_2.prp,1694.0,0.124373201,1822.0,0.004341267
A_014_ABS34_15_3.prp,1685.0,0.506603641,1685.0,0.00331095
A_014_ABS34_15_4.prp,1723.0,0.341074586,1723.0,0.003770229
A_014_ABS34_15_5.prp,1581.0,0.512302262,1581.0,0.0026956410000000004
A_014_ABS35_15_1.prp,1589.0,0.170363859,1920.0,0.005978239
A_014_ABS35_15_2.prp,1694.0,0.19011098,1822.0,0.012963378999999999
A_014_ABS35_15_3.prp,1685.0,0.425774576,1685.0,0.006043981
A_014_ABS35_15_4.prp,1723.0,0.105636255,1723.0,0.0017193019999999998
A_014_ABS35_15_5.prp,1581.0,0.329045678,1581.0,0.003527308
A_014_ABS36_15_1.prp,1882.0,2.391364543,1589.0,0.011610576000000001
A_014_ABS36_15_2.prp,1866.0,0.237875858,1694.0,0.030020523
A_014_ABS36_15_3.prp,1721.0,0.183350024,1685.0,0.003378744
A_014_ABS36_15_4.prp,1953.0,3.477122065,1829.0,0.005645093
A_014_ABS36_15_5.prp,2042.0,51.253370432,2111.0,0.0062461389999999995
A_014_ABS37_15_1.prp,3177.0,0.119717978,3177.0,0.008769232
A_014_ABS37_15_2.prp,3395.0,0.057148704,3647.0,0.0038466750000000004
A_014_ABS37_15_3.prp,3366.0,0.288342902,3366.0,0.002197361
A_014_ABS37_15_4.prp,3443.0,0.232897331,3443.0,0.002393595
A_014_ABS37_15_5.prp,3165.0,0.254952589,3165.0,0.001182748
A_014_ABS38_15_1.prp,3177.0,0.147178104,3177.0,0.004867847
A_014_ABS38_15_2.prp,3395.0,0.053473154,3647.0,0.003230954
A_014_ABS38_15_3.prp,3366.0,0.407215407,3366.0,0.001182443
A_014_ABS38_15_4.prp,3443.0,0.169021383,3443.0,0.00182945
A_014_ABS38_15_5.prp,3165.0,0.281821378,3165.0,0.003869008
A_014_ABS39_15_1.prp,3763.0,1.892438853,3177.0,0.025315712
A_014_ABS39_15_2.prp,3740.0,0.198940252,3395.0,0.003884681
A_014_ABS39_15_3.prp,3439.0,0.276808419,3366.0,0.0034356400000000002
A_014_ABS39_15_4.prp,3904.0,2.699798281,3657.0,0.004722231
A_014_ABS39_15_5.prp,4088.0,49.302987171,4227.0,0.00197166
A_014_ABS3_15_1.prp,1882.0,2.779315754,1589.0,0.016761514
A_014_ABS3_15_2.prp,1866.0,0.252442211,1694.0,0.016430561
A_014_ABS3_15_3.prp,1721.0,0.143994747,1685.0,0.016865192
A_014_ABS3_15_4.prp,1953.0,3.673251631,1829.0,0.044771398999999996
A_014_ABS3_15_5.prp,2042.0,49.640192323,2111.0,0.003168823
A_014_ABS40_15_1.prp,3177.0,0.056446775,3177.0,0.008543575000000001
A_014_ABS40_15_2.prp,3395.0,0.066220145,3647.0,0.008326726
A_014_ABS40_15_3.prp,3366.0,0.174764234,3366.0,0.002041968
A_014_ABS40_15_4.prp,3443.0,0.063746342,3443.0,0.001726514
A_014_ABS40_15_5.prp,3165.0,0.215904409,3165.0,0.001728098
A_014_ABS41_15_1.prp,3177.0,0.048453289,3177.0,0.005350051000000001
A_014_ABS41_15_2.prp,3395.0,0.0523021,3647.0,0.008342237
A_014_ABS41_15_3.prp,3366.0,0.20742001,3366.0,0.002745393
A_014_ABS41_15_4.prp,3443.0,0.063005135,3443.0,0.00243951
A_014_ABS41_15_5.prp,3165.0,0.15200962,3165.0,0.002592279
A_014_ABS42_15_1.prp,3763.0,2.110373149,3177.0,0.013568695
A_014_ABS42_15_2.prp,3740.0,0.243951748,3395.0,0.021690776000000002
A_014_ABS42_15_3.prp,3439.0,0.139211794,3366.0,0.003999344
A_014_ABS42_15_4.prp,3904.0,2.896407991,3657.0,0.004700822
A_014_ABS42_15_5.prp,4088.0,45.870922249,4227.0,0.001533771
A_014_ABS43_15_1.prp,3177.0,0.049365961,3177.0,0.0035337669999999997
A_014_ABS43_15_2.prp,3395.0,0.06149817,3647.0,0.003764668
A_014_ABS43_15_3.prp,3366.0,0.164187175,3366.0,0.001458464
A_014_ABS43_15_4.prp,3443.0,0.061249339,3443.0,0.001277862
A_014_ABS43_15_5.prp,3165.0,0.194012287,3165.0,0.001521285
A_014_ABS44_15_1.prp,3177.0,0.03787717,3177.0,0.003711446
A_014_ABS44_15_2.prp,3395.0,0.053285796,3647.0,0.003888731
A_014_ABS44_15_3.prp,3366.0,0.183848971,3366.0,0.001875737
A_014_ABS44_15_4.prp,3443.0,0.072437077,3443.0,0.001712366
A_014_ABS44_15_5.prp,3165.0,0.17027353,3165.0,0.002841422
A_014_ABS45_15_1.prp,3763.0,2.02698852,3177.0,0.019189324
A_014_ABS45_15_2.prp,3740.0,0.236163123,3395.0,0.004388867
A_014_ABS45_15_3.prp,3439.0,0.114561842,3366.0,0.0038282859999999998
A_014_ABS45_15_4.prp,3904.0,2.998994584,3657.0,0.006061683
A_014_ABS45_15_5.prp,4088.0,45.231780247,4227.0,0.001484619
A_014_ABS46_15_1.prp,3177.0,0.036117782,3177.0,0.0037781610000000004
A_014_ABS46_15_2.prp,3395.0,0.070640679,3647.0,0.0039529610000000005
A_014_ABS46_15_3.prp,3366.0,0.150488109,3366.0,0.001465098
A_014_ABS46_15_4.prp,3443.0,0.060436006,3443.0,0.001360099
A_014_ABS46_15_5.prp,3165.0,0.224248317,3165.0,0.0015111880000000001
A_014_ABS47_15_1.prp,3177.0,0.046447743,3177.0,0.0036143119999999997
A_014_ABS47_15_2.prp,3395.0,0.057049361,3647.0,0.014444415
A_014_ABS47_15_3.prp,3366.0,0.158325148,3366.0,0.001491643
A_014_ABS47_15_4.prp,3443.0,0.062832906,3443.0,0.001383361
A_014_ABS47_15_5.prp,3165.0,0.154063361,3165.0,0.001332217
A_014_ABS48_15_1.prp,3763.0,2.115535757,3177.0,0.007648611
A_014_ABS48_15_2.prp,3740.0,0.242358079,3395.0,0.0043456779999999995
A_014_ABS48_15_3.prp,3439.0,0.135810564,3366.0,0.003949939
A_014_ABS48_15_4.prp,3904.0,3.026618078,3657.0,0.0046742350000000005
A_014_ABS48_15_5.prp,4088.0,45.888336779,4227.0,0.001455146
A_014_ABS49_15_1.prp,15875.0,0.038912508,19194.0,0.001678989
