file,Exact,time1,Heuristic,time2
A_014_#ABS1_15_1.prp,40346.0,11.519522489,41648.000192,1.489824807
A_014_ABS10_15_1.prp,40346.0,11.720099624,41648.000192,0.501723063
A_014_ABS10_15_2.prp,40346.0,10.566512217,41648.000192,0.472851586
A_014_ABS10_15_3.prp,40346.0,10.615023667,41648.000192,0.823932023
A_014_ABS10_15_4.prp,40346.0,10.338816106,41648.000192,0.786530968
A_014_ABS10_15_5.prp,40346.0,10.352033443,41648.000192,0.73800071
A_014_ABS11_15_1.prp,40346.0,10.31500263,41648.000192,0.998380519
A_014_ABS11_15_2.prp,40346.0,10.395619133,41648.000192,1.0229895
A_014_ABS11_15_3.prp,40346.0,10.664505305,41648.000192,0.448971535
A_014_ABS11_15_4.prp,40346.0,10.787710351,41648.000192,0.67410259
A_014_ABS11_15_5.prp,40346.0,11.627507961,41648.000192,0.472820619
A_014_ABS12_15_1.prp,40346.0,10.73395069,41648.000192,0.463100579
A_014_ABS12_15_2.prp,40346.0,10.465395453,41648.000192,0.586283252
A_014_ABS12_15_3.prp,40346.0,11.173756843,41648.000192,0.432436999
A_014_ABS12_15_4.prp,40346.0,11.200208622,41648.000192,0.558990246
A_014_ABS12_15_5.prp,40346.0,11.343011065,41648.000192,0.483529615
A_014_ABS13_15_1.prp,40346.0,11.227774668,41648.000192,0.431099859
A_014_ABS13_15_2.prp,40346.0,11.092152592,41648.000192,0.42424091
A_014_ABS13_15_3.prp,40346.0,10.319033959,41648.000192,0.436447539
A_014_ABS13_15_4.prp,40346.0,10.452441887,41648.000192,0.435080714
A_014_ABS13_15_5.prp,40346.0,10.353789894,41648.000192,0.431440387
A_014_ABS14_15_1.prp,40346.0,10.361781731,41648.000192,1.70543428
A_014_ABS14_15_2.prp,40346.0,10.658480215,41648.000192,1.62392825
A_014_ABS14_15_3.prp,40346.0,11.073686482,41648.000192,0.465566035
A_014_ABS14_15_4.prp,40346.0,10.605587254,41648.000192,0.419740096
A_014_ABS14_15_5.prp,40346.0,11.861306114,41648.000192,0.639021625
A_014_ABS15_15_1.prp,40346.0,12.225772671,41648.000192,0.521283253
A_014_ABS15_15_2.prp,40346.0,11.344263633,41648.000192,0.52600702
A_014_ABS15_15_3.prp,40346.0,11.469600102,41648.000192,0.92643044
A_014_ABS15_15_4.prp,40346.0,12.635651268,41648.000192,0.564274059
A_014_ABS15_15_5.prp,40346.0,13.206317133,41648.000192,0.571318891
A_014_ABS16_15_1.prp,40346.0,11.725094986,41648.000192,1.57457173
A_014_ABS16_15_2.prp,40346.0,10.964461323,41648.000192,1.977222554
A_014_ABS16_15_3.prp,40346.0,11.247207142,41648.000192,1.606813183
A_014_ABS16_15_4.prp,40346.0,11.13919325,41648.000192,1.983385354
A_014_ABS16_15_5.prp,40346.0,10.53325922,41648.000192,1.612917968
A_014_ABS17_15_1.prp,40346.0,11.472995079,41648.000192,1.673524796
A_014_ABS17_15_2.prp,40346.0,10.93728575,41648.000192,1.948011815
A_014_ABS17_15_3.prp,40346.0,11.324298959,41648.000192,0.900829724
A_014_ABS17_15_4.prp,40346.0,11.536750586,41648.000192,0.533716514
A_014_ABS17_15_5.prp,40346.0,11.21451958,41648.000192,0.534900163
A_014_ABS18_15_1.prp,40346.0,11.285895445,41648.000192,0.569376695
A_014_ABS18_15_2.prp,40346.0,11.601239397,41648.000192,0.459253213
A_014_ABS18_15_3.prp,40346.0,11.305592047,41648.000192,0.785102596
A_014_ABS18_15_4.prp,40346.0,11.298262731,41648.000192,0.512503312
A_014_ABS18_15_5.prp,40346.0,10.947734099,41648.000192,0.663733421
A_014_ABS19_15_1.prp,40346.0,10.993028057,41648.000192,0.507064691
A_014_ABS19_15_2.prp,40346.0,12.332782004,41648.000192,0.78200319
A_014_ABS19_15_3.prp,40346.0,12.668688624,41648.000192,1.339487469
A_014_ABS19_15_4.prp,40346.0,11.45289967,41648.000192,1.707570415
A_014_ABS19_15_5.prp,40346.0,11.638353175,41648.000192,1.541901876
A_014_ABS1_15_1.prp,40346.0,10.642142635,41648.000192,1.382421912
A_014_ABS1_15_2.prp,40346.0,10.822206134,41648.000192,1.946351261
A_014_ABS1_15_3.prp,40346.0,11.174605508,41648.000192,1.635086922
A_014_ABS1_15_4.prp,40346.0,10.855240002,41648.000192,1.242136608
A_014_ABS1_15_5.prp,40346.0,11.708509875,41648.000192,1.391439161
A_014_ABS20_15_1.prp,40346.0,11.281716802,41648.000192,1.987754988
A_014_ABS20_15_2.prp,40346.0,10.624638672,41648.000192,1.740008379
A_014_ABS20_15_3.prp,40346.0,11.288247616,41648.000192,1.89132406
A_014_ABS20_15_4.prp,40346.0,10.810062078,41648.000192,2.453515971
A_014_ABS20_15_5.prp,40346.0,11.32181411,41648.000192,2.206397941
A_014_ABS21_15_1.prp,40346.0,11.191107432,41648.000192,1.737478552
A_014_ABS21_15_2.prp,40346.0,11.405445553,41648.000192,1.687040711
A_014_ABS21_15_3.prp,40675.0,6.982659322,41648.000192,0.464715267
